Module,Customer,Style,Total SMV,Sewing SMV,Product Type,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL06,Patagonia,62380,11.08,11.08,,,,,,-,,,,18130,10/31/23,0.272222222222222,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,914,1408,1843,2008,-,2173,1378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,-,1042,1537,1886,2052,1702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL06,Patagonia,62385,15.18,15.18,,,,,,-,,,,16883,9/4/23,0.25,,,,PPD,164,-,-,-,-,-,-,147,283,15,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,-,749,1198,686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,685,1046,1352,1472,-,-,-,1592,1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,607,967,-,-,-,1326,1445,910,-,-,-,-,-,-,-,-,-,-,-,-,-,-,606,-,-,-,
AL06,Patagonia,62390,18.67,18.67,,,,,,-,,,,19392,9/18/23,0.281944444444444,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,-,150,665,1191,-,-,1190,1191,413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,610,903,1116,1214,-,1312,1191,-,-,1327,-,-,1452,1468,1471,1483,831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Daily Prod,AL06,-,15.31,15.31,,,,,,-,,,,78213,9/4/23,0.25,,,,PPD,164,-,-,-,-,-,-,147,283,15,-,-,-,-,129,-,150,665,1191,-,-,1190,1191,613,-,-,-,-,749,1198,830,720,1051,-,-,1269,1379,74,-,-,-,-,1436,1472,1534,1647,1302,-,-,685,1046,1352,1472,-,-,-,1592,1429,914,1408,1843,2008,-,2173,1460,610,903,1116,1214,-,1312,1191,-,-,1327,-,-,1452,1468,1471,1483,991,-,-,1042,1537,1886,2052,1756,-,-,1139,1712,607,967,-,-,-,1326,1445,1007,690,1020,-,-,1259,1368,1287,-,1556,-,-,-,-,1632,606,-,-,-,
Efficiency,AL06,-,,,,,,,,,,,,,,,,,,EFF Row,0.07,-,-,-,-,-,-,0.06,0.12,0.01,-,-,-,-,0.07,-,0.08,0.34,0.61,-,-,0.61,0.61,0.29,-,-,-,-,0.31,0.5,0.35,0.33,0.48,-,-,0.58,0.63,0.03,-,-,-,-,0.65,0.67,0.7,0.75,0.59,-,-,0.28,0.43,0.56,0.61,-,-,-,0.66,0.59,0.28,0.43,0.56,0.61,-,0.66,0.46,0.31,0.46,0.57,0.62,-,0.67,0.61,-,-,0.68,-,-,0.74,0.75,0.75,0.76,0.47,-,-,0.32,0.47,0.57,0.62,0.53,-,-,0.28,0.43,0.25,0.4,-,-,-,0.55,0.6,0.42,0.31,0.46,-,-,0.57,0.62,0.58,-,0.71,-,-,-,-,0.74,0.25,-,-,-,
AL08,Patagonia,32050,12.45,12.45,,,,,,-,,,,4712,10/2/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,402,-,-,-,549,641,769,861,935,342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL08,Patagonia,45385,7.98,7.98,,,,,,-,,,,6427,9/4/23,0.25,,,,PPD,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,1360,1408,-,-,755,1576,1201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL08,Patagonia,61246,11.1,11.1,,,,,,-,,,,12967,10/3/23,0.263888888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,409,574,698,-,-,821,945,212,959,1112,-,-,1198,1230,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204,585,832,963,1046,-,-,1038,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL08,Patagonia,61266,9.13,9.13,,,,,,-,,,,4944,10/18/23,0.280555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,451,785,1085,-,-,1195,1296,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL08,Patagonia,62380,11.08,11.08,,,,,,-,,,,331,9/14/23,0.25,,,,PPD,-,-,-,-,-,-,-,-,-,-,171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
