Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL06,Patagonia,62385,15.18,15.18,1001001944,30,Stitch,TKAM,-,1,-,-,T-shirt Baselayer,2023_5_2,AAT,456555,BTCN3TTSFLCZ0PSH0V,TKAM,X014,10/31/23,-,1000,1030,1030,1030,10/2/23,1:59 PM,10/3/23,515,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,434,596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001944::30
AL06,Patagonia,62385,15.18,15.18,1001001944,20,Stitch,RMPL,-,1,-,-,T-shirt Baselayer,2023_5_2,AAT,456555,BTCN3TTSFLCZ0PSH0V,RMPL,X014,10/31/23,-,500,515,515,515,10/3/23,2:13 PM,10/3/23,515,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001944::20
AL06,Patagonia,62385,15.18,15.18,1001001944,10,Stitch,PONN,-,1,-,-,T-shirt Baselayer,2023_5_2,AAT,456555,BTCN3TTSFLCZ0PSH0V,PONN,X014,10/31/23,-,750,773,773,773,10/3/23,9:12 PM,10/4/23,386,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001944::10
AL06,Patagonia,61256,16.57,16.57,1001001999,50,Stitch,SHWI,-,1,-,-,Hoody Baselayer,2023_5_2,AAT,456582,JK3NEO0TTS0F0PFQCZSH0V0L,SHWI,X014,10/31/23,-,700,721,721,721,10/4/23,2:05 PM,10/5/23,360,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,577,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001999::50
AL06,Patagonia,61256,16.57,16.57,1001001999,40,Stitch,FZPE,-,1,-,-,Hoody Baselayer,2023_5_2,AAT,456582,JK3NEO0TTS0F0PFQCZSH0V0L,FZPE,X014,10/31/23,-,1800,1854,1854,1854,10/5/23,7:22 PM,10/9/23,618,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143,1051,-,-,660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001999::40
AL06,Patagonia,61256,16.57,16.57,1001001999,20,Stitch,DASN,-,1,-,-,Hoody Baselayer,2023_5_2,AAT,456582,JK3NEO0TTS0F0PFQCZSH0V0L,DASN,X014,10/31/23,-,650,670,670,670,10/9/23,2:33 PM,10/10/23,335,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,609,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001999::20
AL06,Patagonia,61256,16.57,16.57,1001001999,30,Stitch,FXMI,-,1,-,-,Hoody Baselayer,2023_5_2,AAT,456582,JK3NEO0TTS0F0PFQCZSH0V0L,FXMI,X014,10/31/23,-,751,774,774,774,10/10/23,6:39 AM,10/10/23,774,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001999::30
AL06,Patagonia,61256,16.57,16.57,1001001999,10,Stitch,CFNY,-,1,-,-,Hoody Baselayer,2023_5_2,AAT,456582,JK3NEO0TTS0F0PFQCZSH0V0L,CFNY,X014,10/31/23,-,600,618,618,618,10/10/23,4:02 PM,10/11/23,309,20230915,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,544,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001001999::10
AL06,Patagonia,61256,16.57,16.57,1001014237,10,Stitch,SHWI,-,1,-,-,Hoody Baselayer,2023_6_3,AAT,457963,JK3NEO0TTS0F0PFQCZSH0V0L,SHWI,X014,11/15/23,-,600,618,618,618,10/16/23,6:00 AM,10/16/23,618,20231003,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001014237::10
AL06,Patagonia,61256,16.57,16.57,1001014237,20,Stitch,RWTG,-,1,-,-,Hoody Baselayer,2023_6_3,AAT,457963,JK3NEO0TTS0F0PFQCZSH0V0L,RWTG,X014,11/15/23,-,1400,1442,1442,1442,10/16/23,1:18 PM,10/17/23,721,20231003,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,818,624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001014237::20
