Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL21,Arcteryx,X000007735,28.66,28.66,1001004575,90,Stitch,ARCTSILK,-,-,-,2,T-shirt,2023_5_1,,6300097057,BTFN3TPSBLOZ0PSH0V,ARCTSI,X014,1/26/24,-,124,128,128,128,12/27/23,10:28 AM,12/27/23,128,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,-,-,-,-,1001004575::90
AL21,Arcteryx,X000007735,28.66,28.66,1001004575,20,Stitch,ARCTSILK,-,-,-,2,T-shirt,2023_5_1,,6300096799,BTFN3TPSBLOZ0PSH0V,ARCTSI,X014,1/26/24,-,127,131,131,131,12/27/23,1:47 PM,12/27/23,131,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,-,-,-,-,1001004575::20
AL21,Arcteryx,X000007735,28.66,28.66,1001004575,30,Stitch,ARCTSILK,-,-,-,2,T-shirt,2023_5_1,,6300096993,BTFN3TPSBLOZ0PSH0V,ARCTSI,X014,1/26/24,-,162,167,167,167,12/27/23,4:40 PM,12/27/23,167,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,-,-,-,-,1001004575::30
AL21,Arcteryx,X000007735,28.66,28.66,1001004575,40,Stitch,ARCTSILK,-,-,-,2,T-shirt,2023_5_1,,6300097027,BTFN3TPSBLOZ0PSH0V,ARCTSI,X014,1/26/24,-,336,346,346,346,12/27/23,8:31 PM,12/28/23,173,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,260,-,-,-,1001004575::40
AL21,Arcteryx,X000007735,28.66,28.66,1001004575,70,Stitch,ARCTSILK,-,-,-,2,T-shirt,2023_5_1,,6300097050,BTFN3TPSBLOZ0PSH0V,ARCTSI,X014,1/26/24,-,633,652,652,463,12/28/23,11:58 AM,1/2/24,463,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,463,-,-,-,1001004575::70
AL21,Arcteryx,X000007735,28.66,28.66,1001004575,10,Stitch,ARCTSILK,-,-,-,2,T-shirt,2023_5_1,,6300096701,BTFN3TPSBLOZ0PSH0V,ARCTSI,X014,1/26/24,-,1899,1956,1955,-,1/2/24,10:02 AM,1/4/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004575::10
AL21,Arcteryx,X000007735,28.66,28.66,1001004668,10,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,S24B2_TOP8,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/15/24,-,10,10,10,-,1/4/24,10:01 PM,1/4/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004668::10
AL21,Arcteryx,X000007735,28.66,28.66,1001004644,10,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,S24B2_PP8,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/31/24,-,20,21,21,-,1/4/24,10:13 PM,1/5/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004644::10
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,90,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097053,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,3,3,3,-,1/5/24,6:08 AM,1/5/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::90
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,70,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097047,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,26,27,27,-,1/5/24,6:12 AM,1/5/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::70
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,60,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097044,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,236,243,243,-,1/5/24,6:44 AM,1/5/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::60
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,40,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097010,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,273,281,281,-,1/5/24,12:21 PM,1/5/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::40
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,20,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300096799,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,313,322,322,-,1/5/24,6:30 PM,1/8/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::20
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,80,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097050,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,486,501,501,-,1/8/24,9:27 AM,1/8/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::80
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,30,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300096993,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,504,519,519,-,1/8/24,9:00 PM,1/9/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::30
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,100,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097057,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,575,592,592,-,1/9/24,4:25 PM,1/10/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::100
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,50,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300097027,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,1264,1302,1302,-,1/10/24,1:17 PM,1/15/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::50
AL21,Arcteryx,X000007735,28.66,28.66,1001004577,10,Stitch,BLACK,-,-,-,2,T-shirt,2023_5_1,,6300096701,BTFN3TPSBLOZ0PSH0V,BLACK,X014,1/26/24,-,3130,3224,3224,-,1/15/24,9:54 AM,1/19/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004577::10
AL21,Arcteryx,X000007735,28.66,28.66,1001004647,10,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,S24B2_TOP10,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/15/24,-,10,10,10,-,1/19/24,5:34 PM,1/19/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004647::10
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,80,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300097053,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,14,14,14,-,1/19/24,5:46 PM,1/19/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::80
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,60,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300097044,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,25,26,26,-,1/19/24,6:03 PM,1/19/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::60
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,90,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300097057,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,87,90,90,-,1/19/24,6:35 PM,1/19/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::90
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,20,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300096788,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,135,139,139,-,1/19/24,8:53 PM,1/22/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::20
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,50,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300097027,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,135,139,139,-,1/22/24,7:25 AM,1/22/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::50
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,30,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300096993,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,193,199,199,-,1/22/24,10:27 AM,1/22/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::30
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,70,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300097050,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,260,268,268,-,1/22/24,3:11 PM,1/22/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::70
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,40,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300097010,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,308,317,317,-,1/22/24,9:19 PM,1/23/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::40
AL21,Arcteryx,X000007735,28.66,28.66,1001004579,10,Stitch,EUPHORIA,-,-,-,2,T-shirt,2023_5_1,,6300096701,BTFN3TPSBLOZ0PSH0V,EUPHOR,X014,1/26/24,-,2466,2540,2540,-,1/23/24,12:11 PM,1/26/24,-,20231217,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001004579::10
Daily Prod,AL21,X000007735,28.66,28.66,,,,,,,,,,,,,,,,,-,,,,12220,11/28/23,0.255555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,295,397,496,579,-,609,650,632,640,-,-,-,651,671,685,688,688,706,-,712,720,723,260,-,-,-,-,-,589,723,-,-,-,
Efficiency,AL21,X000007735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,0.1,-,-,0.02,-,-,-,-,-,0.05,0.51,-,-,0.52,0.52,0.54,-,-,-,-,0.52,0.52,0.52,0.18,0.48,-,-,0.52,0.42,0.04,0.2,0.3,-,-,0.4,0.05,0.2,0.3,0.4,-,-,0.45,0.55,0.6,0.53,-,-,-,0.22,0.32,0.41,0.47,0.56,0.34,-,0.25,0.35,0.43,0.48,0.15,0.26,-,0.33,0.41,0.47,0.48,0.52,-,-,0.55,0.56,0.57,0.32,-,-,-,-,0.08,0.23,0.31,0.39,0.45,-,0.48,0.51,0.5,0.5,-,-,-,0.51,0.53,0.54,0.54,0.54,0.55,-,0.56,0.56,0.57,0.2,-,-,-,-,-,0.46,0.57,-,-,-,
AL22,LACOSTE,TH7539,13.93,13.93,1001005375,10,Stitch,J2G,-,-,-,-,T-shirt,2023_6_1,AAF,7242010-7,BTCNATOSALOZ0PSH0V,J2G,X075,10/29/23,-,2176,2285,692,692,9/20/23,1:56 PM,9/21/23,346,20230901,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001005375::10
AL22,LACOSTE,TH7539,13.93,13.93,1001022390,10,Stitch,IXU,-,-,-,-,T-shirt,2023_7_1,AAF,7245381-8,BTCNATOSALOZ0PSH0V,IXU,X075,11/12/23,-,2044,2146,592,592,9/21/23,9:12 PM,9/22/23,296,20230912,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001022390::10
AL22,LACOSTE,TH5207,17.35,17.35,1000941268,20,Stitch,SI0,-,-,-,1,T-shirt,2022_11_2,AAJ,7242807-1,BTCNATFSFLSZ0PDH0V,SI0,X075,9/20/23,20230712,5,5,5,5,9/23/23,9:21 AM,9/23/23,5,20230830,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000941268::20
