Factory,GROUP,TEAM,PERMANENT,CASUAL,F.PERMANT,F.CASUAL,LC. TYPE,CUSTOMER,STYLE,ITEM ID,STYLE FAMILY,SMV,DAY,WORK HRS,AVA. DIRECT HRS,FC AVA. DIRECT HRS,PROJECTED HRS,LC. HRS,C OUT HRS,C OUT HRS PROJECTED,LC. OUTPUT,F. OUTPUT,OUTPUT,PLN. PCS,LC. EFF,FC. EFF,C OUT EFF,ILQ %,IDLE HRS,LA EFF Variance,LA HRS Variance,LA PCS Variance,Capacity,CAP Efficiency,LRN vs Capacity EFF
CME,CME-SEWING-1,TEAM 09,17,0,0,0,LR-OP,DEC,11 DEC1SK 307912D3-SS23,11 DEC1SK 307912D3-SS23,BOTTOM ACTIVE,8.32,1,0,131.4,0,0,65.7,94.29333333,94.29333333,0,0,680,0,50.00%,0.00%,71.76%,6.25%,0,21.76%,28.59333333,680,0,0.00%,50.00%
CMGM,CMM,TEAM 09,22,0,22,0,LR-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,SKINNY,5.96,9,9,193.4666667,198,183.77,166.3813333,198.6666667,14.89666667,1714.23,1850,2000,1678,86.00%,92.81%,102.69%,6.25%,0,16.69%,32.28533333,285.77,1850,92.81%,-6.81%
CMW,CMW,TEAM 09,30,0,28,0,FN-BRA,MnS,11 MnST52 8960BC4-SP24,11 MnST52 8960BC4-SP24,BRA,20.14,10,8,236.9,224,145.68,170.568,138.966,-6.714,480.48,434,414,444,72.00%,65.04%,58.66%,20.03%,60,-13.34%,-31.602,-66.48,434,65.04%,6.96%
CMCG,CMCG,TEAM 10,23,0,23,0,LN-BRA,MnS,11 MnST52 7472C4-SP24,11 MnST52 7472C4-SP24,BRA,19.31,11,9,209.1833333,207,154.8,163.163,156.411,1.611,502,481,486,448,78.00%,74.78%,74.77%,21.09%,0,-3.23%,-6.752,-16,486,75.56%,2.44%
CME,CME-SEWING-1,TEAM 10,17,0,17,0,FN-OP,DEC,11 DEC1SK 334915D4-SS24,11 DEC1SK 334915D4-SS24,LINGERIE,6.86,1,9,134.9166667,153,76.6,48.57,68.6,-8,481.75,670,600,731,36.00%,50.07%,50.85%,8.15%,0,14.85%,20.03,118.25,670,50.07%,-14.07%
CME,CME-SEWING-1,TEAM 10,17,0,0,0,LR-OP,DEC,11 DEC1SK 340809D3-SS23,11 DEC1SK 340809D3-SS23,LINGERIE,5.78,1,0,16.3,0,0,8.15,8.284666667,8.284666667,0,0,86,0,50.00%,0.00%,50.83%,0.00%,0,0.83%,0.134666667,86,0,0.00%,50.00%
CMGM,CMM,TEAM 10,19,0,22,0,LN-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,SKINNY,5.96,2,9,172.5333333,198,115.03,94.89333333,103.3066667,-11.72333333,1096.31,1158,1040,1410,55.00%,58.09%,59.88%,3.13%,0,4.88%,8.413333333,-56.31,1158,58.09%,-3.09%
CMW,CMW,TEAM 10,16,0,16,0,FN-OP,MnS,11 MnST52 7597WC4-SP24,11 MnST52 7597WC4-SP24,BRIEF,8.7,3,8,128.1833333,128,80.77,80.7555,81.2,0.43,556.14,557,560,632,63.00%,63.10%,63.35%,120.83%,60,0.35%,0.4445,3.86,557,63.10%,-0.10%
CMCG,CMCG,TEAM 11,26,0,21,0,LN-BRA,MnS,11 MnST52 5913TC4-SP24,11 MnST52 5913TC4-SP24,SWIMWEAR,17.03,4,9,207.5166667,189,102.18,136.961,102.18,0,439,360,360,360,66.00%,54.06%,49.24%,10.16%,0,-16.76%,-34.781,-79,432,64.88%,1.12%
CME,CME-SEWING-1,TEAM 11,29,0,26,0,LR-OP,DEC,11 DEC1SK 112624SD3-SS23,11 DEC1SK 112624SD3-SS23,SWIMWEAR,16.71,1,9,252.4,234,125.33,126.2,183.81,58.48,420.11,450,660,524,50.00%,53.56%,72.82%,11.88%,0,22.82%,57.61,239.89,450,53.56%,-3.56%
