Module,Total SMV,Product Type,Avg Per Day,Actual Per Day,Defect Qty,Reject Qty,Missing Qty
AL05,17.27,T-shirt Crew neck,420,415,5,0,0
AL05,17.27,T-shirt Crew neck,210,200,10,0,0
AL05,18.83,T-shirt,206,200,6,0,0
AL05,18.83,T-shirt,148,112,36,2,0
AL05,12.66,T-shirt,506,495,11,1,0
AL05,12.66,T-shirt,434,428,6,0,0
AL05,12.66,T-shirt,302,300,2,0,0
AL05,12.66,T-shirt,372,366,6,0,0
AL05,7.98,T-shirt Baselayer,944,935,9,0,0
AL05,7.98,T-shirt Baselayer,1288,1275,13,1,0
AL05,7.98,T-shirt Baselayer,1709,1695,14,1,0
,0,,0,0,0,0,0
AL05,8.7,,1,1,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,586,575,11,1,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,944,935,9,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,14,12,2,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,4,4,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,16.55,,79,78,1,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,18.83,,155,155,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,17.27,,239,236,3,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,12.75,,517,500,17,1,0
,0,,0,0,0,0,0
AL06,15.18,T-shirt Baselayer,164,162,2,0,0
AL06,15.18,T-shirt Baselayer,147,140,7,0,0
AL06,15.18,T-shirt Baselayer,149,140,9,0,0
AL06,18.67,Hoody Baselayer,129,122,7,0,0
AL06,18.67,Hoody Baselayer,110,100,10,1,0
AL06,18.67,Hoody Baselayer,510,508,2,0,0
AL06,18.67,Hoody Baselayer,687,680,7,0,0
AL06,18.67,Hoody Baselayer,464,460,4,0,0
AL06,18.67,Hoody Baselayer,541,538,3,0,0
AL06,15.18,T-shirt Baselayer,258,250,8,0,0
AL06,15.18,T-shirt Baselayer,515,500,15,1,0
AL06,15.18,T-shirt Baselayer,515,502,13,1,0
AL06,15.18,T-shirt Baselayer,386,385,1,0,0
AL06,16.57,Hoody Baselayer,360,342,18,2,0
AL06,16.57,Hoody Baselayer,618,601,17,1,0
AL06,16.57,Hoody Baselayer,335,333,2,0,0
AL06,16.57,Hoody Baselayer,774,772,2,0,0
AL06,16.57,Hoody Baselayer,309,300,9,0,0
AL06,16.57,Hoody Baselayer,618,610,8,0,0
AL06,16.57,Hoody Baselayer,721,720,1,0,0
AL06,16.57,Hoody Baselayer,721,719,2,0,0
AL06,16.57,Hoody Baselayer,773,766,7,0,0
AL06,16.57,Hoody Baselayer,361,355,6,0,0
AL06,16.57,Hoody Baselayer,515,508,7,0,0
AL06,16.57,Hoody Baselayer,336,331,5,0,0
AL06,16.57,Hoody Baselayer,1174,1152,22,2,0
AL06,15.18,T-shirt Baselayer,258,250,8,0,0
AL06,15.18,T-shirt Baselayer,464,454,10,1,0
AL06,15.18,T-shirt Baselayer,280,265,15,2,0
AL06,15.18,T-shirt Baselayer,942,933,9,0,0
AL06,15.18,T-shirt Baselayer,412,410,2,0,0
AL06,15.18,T-shirt Baselayer,772,765,7,0,0
AL06,15.18,T-shirt Baselayer,1133,1124,9,0,0
AL06,11.08,T-shirt Baselayer,343,325,18,2,0
AL06,11.08,T-shirt Baselayer,1030,1014,16,1,0
AL06,11.08,T-shirt Baselayer,265,260,5,0,0
AL06,11.08,T-shirt Baselayer,721,714,7,0,0
AL06,11.08,T-shirt Baselayer,722,720,2,0,0
AL06,11.08,T-shirt Baselayer,876,865,11,1,0
AL06,11.08,T-shirt Baselayer,1391,1378,13,1,0
AL06,11.08,T-shirt Baselayer,592,588,4,0,0
AL06,11.08,T-shirt Baselayer,670,645,23,3,2
AL06,18.67,Hoody Baselayer,415,410,5,0,0
AL06,18.67,Hoody Baselayer,1031,1025,6,0,0
AL06,18.67,Hoody Baselayer,515,500,15,2,0
AL06,18.67,Hoody Baselayer,515,499,16,2,0
AL06,18.67,Hoody Baselayer,840,820,20,2,0
AL06,18.67,Hoody Baselayer,1051,1035,16,3,0
AL06,18.67,Hoody Baselayer,258,0,0,0,0
AL06,18.67,Hoody Baselayer,1020,0,0,0,0
AL06,18.67,Hoody Baselayer,629,0,0,0,0
AL06,18.67,Hoody Baselayer,611,0,0,0,0
AL06,18.67,Hoody Baselayer,824,0,0,0,0
AL06,18.67,Hoody Baselayer,273,0,0,0,0
AL06,18.67,Hoody Baselayer,773,0,0,0,0
AL06,11.08,T-shirt Baselayer,520,0,0,0,0
AL06,11.08,T-shirt Baselayer,584,0,0,0,0
AL06,11.08,T-shirt Baselayer,515,0,0,0,0
AL06,11.08,T-shirt Baselayer,570,0,0,0,0
AL06,11.08,T-shirt Baselayer,708,0,0,0,0
AL06,11.08,T-shirt Baselayer,912,0,0,0,0
AL06,11.08,T-shirt Baselayer,366,0,0,0,0
AL06,11.08,T-shirt Baselayer,1511,0,0,0,0
AL06,9.13,T-shirt Baselayer,262,0,0,0,0
AL06,9.13,T-shirt Baselayer,670,0,0,0,0
AL06,9.13,T-shirt Baselayer,515,0,0,0,0
AL06,9.13,T-shirt Baselayer,525,0,0,0,0
AL06,15.18,T-shirt Baselayer,335,0,0,0,0
AL06,15.18,T-shirt Baselayer,371,0,0,0,0
AL06,15.18,T-shirt Baselayer,273,0,0,0,0
AL06,15.18,T-shirt Baselayer,515,0,0,0,0
AL06,15.18,T-shirt Baselayer,816,0,0,0,0
AL06,15.18,T-shirt Baselayer,671,0,0,0,0
AL06,16.57,Hoody Baselayer,462,0,0,0,0
AL06,16.57,Hoody Baselayer,412,0,0,0,0
AL06,16.57,Hoody Baselayer,428,0,0,0,0
AL06,16.57,Hoody Baselayer,542,0,0,0,0
AL06,16.57,Hoody Baselayer,721,0,0,0,0
AL06,16.57,Hoody Baselayer,336,0,0,0,0
AL06,16.57,Hoody Baselayer,721,0,0,0,0
AL06,16.57,Hoody Baselayer,942,0,0,0,0
AL06,16.57,Hoody Baselayer,530,0,0,0,0
AL06,16.57,Hoody Baselayer,1185,0,0,0,0
AL06,15.18,T-shirt Baselayer,303,0,0,0,0
AL06,15.18,T-shirt Baselayer,0,0,0,0,0
